,Word,Similarity
0,fell,0.9505479335784912
1,debris,0.9111081957817078
2,east,0.9054083824157715
3,floor,0.8886969089508057
4,ground,0.8849691152572632
5,occurred,0.88116055727005
6,west,0.8804012537002563
7,steel,0.8702583312988281
8,street,0.8676679730415344
9,across,0.8653911352157593
10,death,0.8522868752479553
11,side,0.8502873778343201
12,site,0.8489375114440918
13,friday,0.8451650142669678
14,second,0.8410258293151855
15,march,0.8398042917251587
16,wall,0.8301119804382324
17,injuries,0.8277745246887207
18,authorities,0.8240727186203003
19,monday,0.8202486634254456
20,avenue,0.8151599168777466
21,seven,0.8128030300140381
22,tower,0.7970308065414429
23,tuesday,0.7952845096588135
24,yesterday,0.7932543158531189
25,injured,0.7880721688270569
26,top,0.7826074957847595
27,worker,0.7785684466362
28,several,0.7765849232673645
29,near,0.7699209451675415
30,died,0.7629144191741943
31,workers,0.7477509379386902
32,killed,0.7397651672363281
33,dead,0.7373025417327881
34,said.the,0.7245135307312012
35,caused,0.7231214046478271
36,morning,0.7212793231010437
37,began,0.7196747064590454
38,left,0.7138453125953674
39,brooklyn,0.7131654620170593
40,manhattan,0.712411642074585
41,concrete,0.7121543884277344
42,came,0.7039757966995239
43,crash,0.6933097839355469
44,thursday,0.6914936304092407
45,two,0.6909420490264893
46,fire,0.6909094452857971
47,taken,0.6901692152023315
48,hours,0.6811044216156006
49,crane,0.6745703220367432
50,feet,0.6650062799453735
51,working,0.664016604423523
52,15,0.6614192724227905
53,men,0.6611322164535522
54,around,0.6585514545440674
55,accident,0.645999550819397
56,equipment,0.6446800231933594
57,later,0.6326762437820435
58,night,0.6316023468971252
59,investigators,0.6309905648231506
60,truck,0.6249269843101501
61,cause,0.6187255382537842
62,scene,0.6096407175064087
63,man,0.6094401478767395
64,hospital,0.6051448583602905
65,five,0.6021723747253418
66,six,0.5979553461074829
67,30,0.5968021154403687
68,least,0.5928295850753784
69,others,0.5834686756134033
70,police,0.5778534412384033
71,one,0.5571126937866211
72,building,0.5535143613815308
73,another,0.5530211329460144
74,charges,0.547896146774292
75,south,0.542548418045044
76,days,0.5301601886749268
77,known,0.5279738903045654
78,cars,0.5271944999694824
79,four,0.5264690518379211
80,officials,0.5247181057929993
81,Â—,0.5243489742279053
82,district,0.5242212414741516
83,driver,0.5222282409667969
84,residents,0.5149422883987427
85,including,0.5126678943634033
86,people,0.5097591876983643
87,cranes,0.5089751482009888
88,involved,0.5071684122085571
89,area,0.5036186575889587
90,found,0.5008209943771362
91,times,0.4994731545448303
92,away,0.49873653054237366
93,took,0.49812445044517517
94,day,0.4826064109802246
95,along,0.4787428379058838
96,months,0.4674417972564697
97,investigation,0.4597838521003723
98,j.,0.4357447624206543
99,three,0.43573516607284546
